"geneid","gene_index","padj","SYMBOL"
"ENSG00000253563",42634,1.58919315821903e-24,"NKX2-1-AS1"
"ENSG00000205359",17051,1.62910447190531e-24,"SLCO6A1"
"ENSG00000261281",45703,1.6564857446355e-24,"RP11-361M10.4"
"ENSG00000258400",42781,1.81721412020151e-24,"RP11-831F12.2"
"ENSG00000237257",30580,1.81850706101314e-24,"MTND2P8"
"ENSG00000286590",18859,1.89756289414144e-24,NA
"ENSG00000266341",51006,1.93633487094415e-24,"RP5-890E16.4"
"ENSG00000213783",22053,2.51440081266864e-24,"RPL35P4"
"ENSG00000135828",4126,2.62357538369412e-24,"RNASEL"
"ENSG00000140743",47300,2.64724356354064e-24,"CDR2"
"ENSG00000165629",35349,2.66468002007242e-24,"ATP5C1"
"ENSG00000230385",9384,2.66468002007242e-24,"AC012507.4"
"ENSG00000225169",2428,2.83074937600183e-24,"BRI3P1"
"ENSG00000174482",29876,2.88159819917736e-24,"LINGO2"
"ENSG00000182974",44363,2.88579179441825e-24,"RP11-294C11.1"
"ENSG00000276698",42423,3.03028384428567e-24,"RP11-468E2.10"
"ENSG00000107018",29592,3.67067261142457e-24,"RLN1"
"ENSG00000237959",2216,3.80178490234996e-24,"RPL36AP10"
"ENSG00000284675",48599,4.09837781108911e-24,NA
"ENSG00000286558",15106,4.1887452972106e-24,NA
"ENSG00000237206",25112,5.24979280055621e-24,"IMPDH1P4"
"ENSG00000187689",13909,5.41476503799165e-24,"AMTN"
"ENSG00000213924",26707,5.41476503799165e-24,"HNRNPH1P2"
"ENSG00000241479",12277,5.69564684799323e-24,"RP11-641D5.2"
"ENSG00000232630",31373,5.72915321343065e-24,"PRPS1P2"
"ENSG00000146007",17664,5.83491084030263e-24,"ZMAT2"
"ENSG00000228903",22346,5.92494610111163e-24,"RASA4CP"
"ENSG00000086159",38661,6.3520367772045e-24,"AQP6"
"ENSG00000249642",15469,6.36680796397825e-24,"RP11-565A3.1"
"ENSG00000227508",21560,6.74259158184634e-24,"LINC01624"
"ENSG00000287369",13730,6.92234086974395e-24,NA
"ENSG00000254545",1047,6.97239938041979e-24,"RP11-84A19.3"
"ENSG00000264229",7692,7.36424622322503e-24,"RNU4ATAC"
"ENSG00000250719",1510,8.47453489816604e-24,"RP11-322N21.2"
"ENSG00000263177",46805,8.90056604352676e-24,"MTND1P8"
"ENSG00000169327",42156,9.17903402079737e-24,"OR5AU1"
"ENSG00000228478",18703,9.26982548557402e-24,"RP1-290I10.3"
"ENSG00000232287",9827,9.34835010040849e-24,"SLC6A1-AS1"
"ENSG00000211851",42281,9.89515384643861e-24,"TRAJ38"
"ENSG00000176783",18420,1.17976231687312e-23,"RUFY1"
"ENSG00000270620",533,1.18779880002818e-23,"RP1-134O19.3"
"ENSG00000256723",33959,1.27224762674074e-23,"RP11-167N4.4"
"ENSG00000215712",21324,1.28644400220884e-23,"TMEM242"
"ENSG00000227134",8080,1.31584834471576e-23,"AC093084.1"
"ENSG00000271202",28634,1.31584834471576e-23,"PRR13P7"
"ENSG00000284700",1600,1.31584834471576e-23,NA
"ENSG00000170160",49662,1.33128077416047e-23,"CCDC144A"
"ENSG00000287903",18553,1.3672052088247e-23,NA
"ENSG00000283635",9567,1.45139996477417e-23,"RP11-5O24.1"
"ENSG00000224409",1090,1.46974857424294e-23,"RP11-114B7.6"
"ENSG00000270385",48948,1.59280467762872e-23,"GS1-21A4.2"
"ENSG00000253114",28098,1.59396516290818e-23,"RP11-550I15.1"
"ENSG00000230994",19323,1.81778063153343e-23,"FGFR3P1"
"ENSG00000227155",29513,1.85440171869048e-23,"RP11-165F24.3"
"ENSG00000196420",3301,1.94343949845591e-23,"S100A5"
"ENSG00000229625",28771,1.97472147885986e-23,"RP11-44N12.2"
"ENSG00000276778",18057,2.15247850394639e-23,"RP11-524N5.1"
"ENSG00000231478",25875,2.19820277589226e-23,"FCF1P9"
"ENSG00000213055",9453,2.39446839801812e-23,"EEF1B2P7"
"ENSG00000249396",15752,2.39446839801812e-23,"RP11-1C1.4"
"ENSG00000128519",23774,2.63421977018197e-23,"TAS2R16"
"ENSG00000279297",34245,3.16540622736459e-23,"RP11-796A5.3"
"ENSG00000213331",15472,3.29794117506966e-23,"RP11-713C19.2"
"ENSG00000197245",853,3.37210742080188e-23,"FAM110D"
"ENSG00000277056",36235,3.65642074233758e-23,"RP11-65E10.1"
"ENSG00000287687",6773,3.69269018702714e-23,NA
"ENSG00000235962",35771,3.69568293720216e-23,"RP11-462L8.2"
"ENSG00000118503",21030,3.74988291207809e-23,"TNFAIP3"
"ENSG00000227430",9019,3.79682266530325e-23,"AC019185.2"
"ENSG00000222499",12136,3.92849615610673e-23,"RN7SKP177"
"ENSG00000058453",581,3.94336255866402e-23,"CROCC"
"ENSG00000252761",19289,4.06168566447804e-23,"Y_RNA"
"ENSG00000244399",6904,4.4652063820663e-23,"RN7SL251P"
